Red,Blue,Yellow,Distance,Result,Expected
37.25,29.41,29.41,3.00,0,2
37.25,30.39,30.39,3.00,0,2
37.25,29.41,29.41,3.00,0,2
36.27,28.43,28.43,3.00,0,2
35.29,27.45,27.45,3.00,0,2
35.29,27.45,27.45,3.00,0,2
35.29,28.43,28.43,3.00,0,2
34.31,27.45,27.45,3.00,0,2
34.31,27.45,27.45,3.00,0,2
35.29,27.45,27.45,3.00,0,2
35.29,27.45,27.45,3.00,0,2
34.31,27.45,27.45,3.00,0,2
33.33,27.45,27.45,3.00,0,2
34.31,26.47,26.47,3.00,0,2
34.31,27.45,27.45,3.00,0,2
32.35,26.47,26.47,3.00,0,2
33.33,25.49,25.49,3.00,0,2
33.33,25.49,25.49,3.00,0,2
32.35,25.49,25.49,3.40,0,2
32.35,25.49,25.49,3.40,0,2
31.37,25.49,25.49,3.40,0,2
31.37,24.51,24.51,3.40,0,2
30.39,23.53,23.53,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,23.53,23.53,3.40,0,2
31.37,23.53,23.53,3.40,0,2
29.41,23.53,23.53,3.40,0,2
31.37,24.51,24.51,3.40,0,2
30.39,23.53,23.53,3.40,0,2
29.41,20.59,20.59,3.40,0,2
29.41,22.55,22.55,3.40,0,2
29.41,23.53,23.53,3.90,0,2
30.39,25.49,25.49,3.90,0,2
28.43,22.55,22.55,3.90,0,2
28.43,22.55,22.55,3.90,0,2
28.43,22.55,22.55,3.60,0,2
29.41,21.57,21.57,3.60,0,2
29.41,23.53,23.53,3.60,0,2
28.43,22.55,22.55,3.60,0,2
29.41,22.55,22.55,3.60,0,2
28.43,22.55,22.55,3.60,0,2
28.43,21.57,21.57,3.60,0,2
27.45,22.55,22.55,3.60,0,2
27.45,21.57,21.57,3.60,0,2
28.43,22.55,22.55,3.60,0,2
27.45,22.55,22.55,3.60,0,2
27.45,21.57,21.57,3.60,0,2
26.47,21.57,21.57,3.60,0,2
26.47,21.57,21.57,3.60,0,2
27.45,21.57,21.57,3.60,0,2
26.47,20.59,20.59,3.60,0,2
26.47,20.59,20.59,3.60,0,2
25.49,20.59,20.59,3.60,0,2
25.49,20.59,20.59,3.60,0,2
25.49,19.61,19.61,3.60,0,2
25.49,20.59,20.59,3.60,0,2
25.49,19.61,19.61,3.90,0,2
24.51,19.61,19.61,3.90,0,2
23.53,18.63,18.63,3.90,0,2
24.51,19.61,19.61,3.90,0,2
23.53,18.63,18.63,3.90,0,2
23.53,18.63,18.63,3.90,0,2
24.51,18.63,18.63,3.90,0,2
23.53,18.63,18.63,4.00,0,2
23.53,19.61,19.61,4.00,0,2
24.51,18.63,18.63,4.00,0,2
24.51,18.63,18.63,4.00,0,2
23.53,18.63,18.63,4.00,0,2
4.90,13.73,13.73,2.10,3,3
